representation,dimension,n_rows,effective_rank_entropy,participation_ratio,top_eigenvalue_fraction,explained_variance_rank_90,embedding_norm_median,embedding_norm_p05,embedding_norm_p95,pairwise_cosine_median,pairwise_cosine_p95,near_constant_dimension_count_variance_lt_1e_8,geometry_result,geometry_boundary,evidence_level
old64,64,16870,17.289608068725116,8.463400498796453,0.27371766435007977,24,16.73570867631327,14.826439180125163,19.179225013089084,0.812645263225474,0.9349033872526339,0,INCONCLUSIVE,no frozen numeric geometry-degeneracy pass/fail threshold; geometry cannot alone determine D1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,64,16870,15.98432713529617,9.263583196436151,0.22184635632751826,18,12.139273089086258,10.66623973199052,14.079082184492814,0.9101940862617076,0.9675763716834666,0,INCONCLUSIVE,no frozen numeric geometry-degeneracy pass/fail threshold; geometry cannot alone determine D1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,64,16870,15.311852668802235,8.871908906163748,0.24763560308874244,17,12.169094583642135,10.740636879738547,14.545868314612083,0.8978454637982581,0.9636295862606121,0,INCONCLUSIVE,no frozen numeric geometry-degeneracy pass/fail threshold; geometry cannot alone determine D1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,64,16870,15.162284206141454,9.238914884033981,0.2234649265250266,16,13.001209240636122,11.396494452403603,14.280992422618137,0.9080328093100958,0.9676137644132048,0,INCONCLUSIVE,no frozen numeric geometry-degeneracy pass/fail threshold; geometry cannot alone determine D1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,64,16870,11.638617906132552,6.8263496134009785,0.3020492854719473,13,7.83310408313631,5.941611691885494,12.724173575364404,0.8069502949015375,0.9352047047514352,0,INCONCLUSIVE,no frozen numeric geometry-degeneracy pass/fail threshold; geometry cannot alone determine D1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,64,16870,11.255014997322405,6.766498518708383,0.2980480392512085,13,9.241444816764181,6.929274785989294,14.547480183101214,0.8106079909322248,0.9375532724227433,0,INCONCLUSIVE,no frozen numeric geometry-degeneracy pass/fail threshold; geometry cannot alone determine D1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,64,16870,11.591178377146894,6.682304626144206,0.307946882492864,13,7.729961661077401,5.785236107389087,12.45343329032171,0.8057749458186378,0.9375755070097214,0,INCONCLUSIVE,no frozen numeric geometry-degeneracy pass/fail threshold; geometry cannot alone determine D1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,64,16870,11.27467997706054,6.573201811188681,0.31396392309056176,13,7.965688994861296,5.9457128590255515,13.01440066010815,0.8055227308650882,0.934336436861494,0,INCONCLUSIVE,no frozen numeric geometry-degeneracy pass/fail threshold; geometry cannot alone determine D1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,64,16870,11.363046735198012,6.676953320697093,0.3085458262745063,13,7.778718517470841,5.901433466959569,12.783299588987214,0.8104629105573731,0.9377603588777539,0,INCONCLUSIVE,no frozen numeric geometry-degeneracy pass/fail threshold; geometry cannot alone determine D1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,64,16870,11.27029795455638,6.587205040764398,0.31218051656989726,13,8.004855863714887,5.965843664829789,13.021799248268511,0.8080147200027231,0.936412861015381,0,INCONCLUSIVE,no frozen numeric geometry-degeneracy pass/fail threshold; geometry cannot alone determine D1,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
