scenario_token,log_id,family,run_a,run_b,category,exact_canonical_equality,run_a_sha256,run_b_sha256,max_abs_difference_diagnostic_only,first_difference_step,affected_fields
25944935eadb52f1,2021.09.10.17.09.03_veh-42_01128_02369,R-HLC,R-HLC__25944935eadb52f1__V3_RUN_A,R-HLC__25944935eadb52f1__V3_RUN_B,scenario_token_log,True,dce8808e12a2a9a89639cd9b8581401a6660221743a0880c427b6ce7e56a6228,dce8808e12a2a9a89639cd9b8581401a6660221743a0880c427b6ce7e56a6228,,,[]
25944935eadb52f1,2021.09.10.17.09.03_veh-42_01128_02369,R-HLC,R-HLC__25944935eadb52f1__V3_RUN_A,R-HLC__25944935eadb52f1__V3_RUN_B,map_fingerprint,True,8d7085cc1a967c6ff4b5823670cd61673328d23ca3415e1f438384247dfffc67,8d7085cc1a967c6ff4b5823670cd61673328d23ca3415e1f438384247dfffc67,,,[]
25944935eadb52f1,2021.09.10.17.09.03_veh-42_01128_02369,R-HLC,R-HLC__25944935eadb52f1__V3_RUN_A,R-HLC__25944935eadb52f1__V3_RUN_B,route_roadblock_sequence,True,4d0966f5e55284e59d0d3b39287c8b0879549332a103187d3c00b29d4b108889,4d0966f5e55284e59d0d3b39287c8b0879549332a103187d3c00b29d4b108889,,,[]
25944935eadb52f1,2021.09.10.17.09.03_veh-42_01128_02369,R-HLC,R-HLC__25944935eadb52f1__V3_RUN_A,R-HLC__25944935eadb52f1__V3_RUN_B,initial_history_canonical,True,8c46a4fdc91f3307552b76523b262d2850ab97cd649c0650432ac45405ec3fcf,8c46a4fdc91f3307552b76523b262d2850ab97cd649c0650432ac45405ec3fcf,,,[]
25944935eadb52f1,2021.09.10.17.09.03_veh-42_01128_02369,R-HLC,R-HLC__25944935eadb52f1__V3_RUN_A,R-HLC__25944935eadb52f1__V3_RUN_B,pre_context_raw,True,224a9b5e442d68138c058487deecdcbe7c5c938b167252eaac09bca0f4d065f3,224a9b5e442d68138c058487deecdcbe7c5c938b167252eaac09bca0f4d065f3,,,[]
25944935eadb52f1,2021.09.10.17.09.03_veh-42_01128_02369,R-HLC,R-HLC__25944935eadb52f1__V3_RUN_A,R-HLC__25944935eadb52f1__V3_RUN_B,canonical_context_json,True,4c5067bdd1a85173d0035932d85c9833128a56cf5e5e8784ebc2e6de02378a73,4c5067bdd1a85173d0035932d85c9833128a56cf5e5e8784ebc2e6de02378a73,,,[]
25944935eadb52f1,2021.09.10.17.09.03_veh-42_01128_02369,R-HLC,R-HLC__25944935eadb52f1__V3_RUN_A,R-HLC__25944935eadb52f1__V3_RUN_B,simulation_step_count,True,05ada863a4cf9660fd8c68e2295f1d35b2264815f5b605003d6625bd9e0492cf,05ada863a4cf9660fd8c68e2295f1d35b2264815f5b605003d6625bd9e0492cf,,,[]
25944935eadb52f1,2021.09.10.17.09.03_veh-42_01128_02369,R-HLC,R-HLC__25944935eadb52f1__V3_RUN_A,R-HLC__25944935eadb52f1__V3_RUN_B,simulation_timestamps,True,2d2789e0ce88b529176cc275591beed26d1ae0e9b11d54cf9e97f409761b82ce,2d2789e0ce88b529176cc275591beed26d1ae0e9b11d54cf9e97f409761b82ce,,,[]
25944935eadb52f1,2021.09.10.17.09.03_veh-42_01128_02369,R-HLC,R-HLC__25944935eadb52f1__V3_RUN_A,R-HLC__25944935eadb52f1__V3_RUN_B,traffic_light_state_sequence,True,1dfbb2382d0c3e2808f4094ae5db2919b75f1687e1b4041cc2ab8f0c1947760e,1dfbb2382d0c3e2808f4094ae5db2919b75f1687e1b4041cc2ab8f0c1947760e,,,[]
25944935eadb52f1,2021.09.10.17.09.03_veh-42_01128_02369,R-HLC,R-HLC__25944935eadb52f1__V3_RUN_A,R-HLC__25944935eadb52f1__V3_RUN_B,background_tracked_object_state_sequence,True,4c5067bdd1a85173d0035932d85c9833128a56cf5e5e8784ebc2e6de02378a73,4c5067bdd1a85173d0035932d85c9833128a56cf5e5e8784ebc2e6de02378a73,,,[]
