path,sha256,part,shard,row_count,shape,dtype,current_manifest,current_manifest_sha256,builder_path,builder_sha256,feature_code_path,feature_code_sha256,code_introducing_commit,code_binding_scope,discovered_at_utc,current_file_provenance_status,historical_ledger_status,historical_ledger,historical_ledger_sha256,historical_sha_claimed
outputs/stage6r_dynamic_full51_semantic_strict_part_00_09/shards/shard_000000/interaction_feat_style_raw.npy,87df97ed75d2ac1701b86d59fb699700a8e3cf4c97051fa470a2777520a20587,stage6r_dynamic_full51_semantic_strict_part_00_09,shard_000000,5000,"[5000,33]",float32,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_dynamic_full51_manifest.json,c67391c26f70734ddecd38b95bcb81b744494383cf62bbfdeb4e024b1fe8305f,tools/build_waymo_dynamic_interaction_dataset_v2.py,1c0f8d77caf0b48a37fe47c673a4f9b293902fcbf1a58ada159f4572c90d1b79,tools/interaction_context_features.py,ccc6c149f9fa4d9ce7ac541c300415c7c4cc0b43dcb0cee827141fc865ef7293,fa37948ce909ef83930fb34ef65342b912af93cb,CURRENT_AND_GIT_TRACEABLE_NOT_ARTIFACT_BOUND_AT_GENERATION,2026-08-25T07:27:04.593531+00:00,CURRENT_FILE_PROVENANCE_VERIFIED,HISTORICAL_LEDGER_ENTRY_NOT_AVAILABLE,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_full51_sha256_ledger.json,e39e22354b11679eb66a43be2c658760ad627ac8b843452565225cecf8007d9e,false
outputs/stage6r_dynamic_full51_semantic_strict_part_00_09/shards/shard_000001/interaction_feat_style_raw.npy,25082162a94db90420aebe6bb62e1b6513caa452447c42f8c2a525ea698c2e11,stage6r_dynamic_full51_semantic_strict_part_00_09,shard_000001,5008,"[5008,33]",float32,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_dynamic_full51_manifest.json,c67391c26f70734ddecd38b95bcb81b744494383cf62bbfdeb4e024b1fe8305f,tools/build_waymo_dynamic_interaction_dataset_v2.py,1c0f8d77caf0b48a37fe47c673a4f9b293902fcbf1a58ada159f4572c90d1b79,tools/interaction_context_features.py,ccc6c149f9fa4d9ce7ac541c300415c7c4cc0b43dcb0cee827141fc865ef7293,fa37948ce909ef83930fb34ef65342b912af93cb,CURRENT_AND_GIT_TRACEABLE_NOT_ARTIFACT_BOUND_AT_GENERATION,2026-08-25T07:27:04.593531+00:00,CURRENT_FILE_PROVENANCE_VERIFIED,HISTORICAL_LEDGER_ENTRY_NOT_AVAILABLE,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_full51_sha256_ledger.json,e39e22354b11679eb66a43be2c658760ad627ac8b843452565225cecf8007d9e,false
outputs/stage6r_dynamic_full51_semantic_strict_part_00_09/shards/shard_000002/interaction_feat_style_raw.npy,d49dcf4a7d41fdb2a077edbcdb920bb57deb89341399e6f0d054b497dc799fbb,stage6r_dynamic_full51_semantic_strict_part_00_09,shard_000002,5016,"[5016,33]",float32,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_dynamic_full51_manifest.json,c67391c26f70734ddecd38b95bcb81b744494383cf62bbfdeb4e024b1fe8305f,tools/build_waymo_dynamic_interaction_dataset_v2.py,1c0f8d77caf0b48a37fe47c673a4f9b293902fcbf1a58ada159f4572c90d1b79,tools/interaction_context_features.py,ccc6c149f9fa4d9ce7ac541c300415c7c4cc0b43dcb0cee827141fc865ef7293,fa37948ce909ef83930fb34ef65342b912af93cb,CURRENT_AND_GIT_TRACEABLE_NOT_ARTIFACT_BOUND_AT_GENERATION,2026-08-25T07:27:04.593531+00:00,CURRENT_FILE_PROVENANCE_VERIFIED,HISTORICAL_LEDGER_ENTRY_NOT_AVAILABLE,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_full51_sha256_ledger.json,e39e22354b11679eb66a43be2c658760ad627ac8b843452565225cecf8007d9e,false
outputs/stage6r_dynamic_full51_semantic_strict_part_00_09/shards/shard_000003/interaction_feat_style_raw.npy,9b2157e99de05d7449d4dc4d6e739c91759db0c51d957c894056fa101e527f9a,stage6r_dynamic_full51_semantic_strict_part_00_09,shard_000003,5010,"[5010,33]",float32,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_dynamic_full51_manifest.json,c67391c26f70734ddecd38b95bcb81b744494383cf62bbfdeb4e024b1fe8305f,tools/build_waymo_dynamic_interaction_dataset_v2.py,1c0f8d77caf0b48a37fe47c673a4f9b293902fcbf1a58ada159f4572c90d1b79,tools/interaction_context_features.py,ccc6c149f9fa4d9ce7ac541c300415c7c4cc0b43dcb0cee827141fc865ef7293,fa37948ce909ef83930fb34ef65342b912af93cb,CURRENT_AND_GIT_TRACEABLE_NOT_ARTIFACT_BOUND_AT_GENERATION,2026-08-25T07:27:04.593531+00:00,CURRENT_FILE_PROVENANCE_VERIFIED,HISTORICAL_LEDGER_ENTRY_NOT_AVAILABLE,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_full51_sha256_ledger.json,e39e22354b11679eb66a43be2c658760ad627ac8b843452565225cecf8007d9e,false
outputs/stage6r_dynamic_full51_semantic_strict_part_00_09/shards/shard_000004/interaction_feat_style_raw.npy,ea09be9c90da5a420e2d56a775cad8b742caa6bed4d01a354399c96ccc617967,stage6r_dynamic_full51_semantic_strict_part_00_09,shard_000004,5006,"[5006,33]",float32,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_dynamic_full51_manifest.json,c67391c26f70734ddecd38b95bcb81b744494383cf62bbfdeb4e024b1fe8305f,tools/build_waymo_dynamic_interaction_dataset_v2.py,1c0f8d77caf0b48a37fe47c673a4f9b293902fcbf1a58ada159f4572c90d1b79,tools/interaction_context_features.py,ccc6c149f9fa4d9ce7ac541c300415c7c4cc0b43dcb0cee827141fc865ef7293,fa37948ce909ef83930fb34ef65342b912af93cb,CURRENT_AND_GIT_TRACEABLE_NOT_ARTIFACT_BOUND_AT_GENERATION,2026-08-25T07:27:04.593531+00:00,CURRENT_FILE_PROVENANCE_VERIFIED,HISTORICAL_LEDGER_ENTRY_NOT_AVAILABLE,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_full51_sha256_ledger.json,e39e22354b11679eb66a43be2c658760ad627ac8b843452565225cecf8007d9e,false
outputs/stage6r_dynamic_full51_semantic_strict_part_00_09/shards/shard_000005/interaction_feat_style_raw.npy,36a3b1f107989554791db817448fd5f4ea0842e868582a00d4b76c6757e49ffc,stage6r_dynamic_full51_semantic_strict_part_00_09,shard_000005,5003,"[5003,33]",float32,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_dynamic_full51_manifest.json,c67391c26f70734ddecd38b95bcb81b744494383cf62bbfdeb4e024b1fe8305f,tools/build_waymo_dynamic_interaction_dataset_v2.py,1c0f8d77caf0b48a37fe47c673a4f9b293902fcbf1a58ada159f4572c90d1b79,tools/interaction_context_features.py,ccc6c149f9fa4d9ce7ac541c300415c7c4cc0b43dcb0cee827141fc865ef7293,fa37948ce909ef83930fb34ef65342b912af93cb,CURRENT_AND_GIT_TRACEABLE_NOT_ARTIFACT_BOUND_AT_GENERATION,2026-08-25T07:27:04.593531+00:00,CURRENT_FILE_PROVENANCE_VERIFIED,HISTORICAL_LEDGER_ENTRY_NOT_AVAILABLE,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_full51_sha256_ledger.json,e39e22354b11679eb66a43be2c658760ad627ac8b843452565225cecf8007d9e,false
outputs/stage6r_dynamic_full51_semantic_strict_part_00_09/shards/shard_000006/interaction_feat_style_raw.npy,03cda921b9e55bfa74b90fdb62dfb2222fcc78d744186926d42f8b4b5dd921b5,stage6r_dynamic_full51_semantic_strict_part_00_09,shard_000006,163,"[163,33]",float32,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_dynamic_full51_manifest.json,c67391c26f70734ddecd38b95bcb81b744494383cf62bbfdeb4e024b1fe8305f,tools/build_waymo_dynamic_interaction_dataset_v2.py,1c0f8d77caf0b48a37fe47c673a4f9b293902fcbf1a58ada159f4572c90d1b79,tools/interaction_context_features.py,ccc6c149f9fa4d9ce7ac541c300415c7c4cc0b43dcb0cee827141fc865ef7293,fa37948ce909ef83930fb34ef65342b912af93cb,CURRENT_AND_GIT_TRACEABLE_NOT_ARTIFACT_BOUND_AT_GENERATION,2026-08-25T07:27:04.593531+00:00,CURRENT_FILE_PROVENANCE_VERIFIED,HISTORICAL_LEDGER_ENTRY_NOT_AVAILABLE,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_full51_sha256_ledger.json,e39e22354b11679eb66a43be2c658760ad627ac8b843452565225cecf8007d9e,false
outputs/stage6r_dynamic_full51_semantic_strict_part_09_18/shards/shard_000000/interaction_feat_style_raw.npy,ca17e38bdc03c628a6adeadf0cd38d44508b3a05ae9966c73f29dbc32ae99094,stage6r_dynamic_full51_semantic_strict_part_09_18,shard_000000,5006,"[5006,33]",float32,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_dynamic_full51_manifest.json,c67391c26f70734ddecd38b95bcb81b744494383cf62bbfdeb4e024b1fe8305f,tools/build_waymo_dynamic_interaction_dataset_v2.py,1c0f8d77caf0b48a37fe47c673a4f9b293902fcbf1a58ada159f4572c90d1b79,tools/interaction_context_features.py,ccc6c149f9fa4d9ce7ac541c300415c7c4cc0b43dcb0cee827141fc865ef7293,fa37948ce909ef83930fb34ef65342b912af93cb,CURRENT_AND_GIT_TRACEABLE_NOT_ARTIFACT_BOUND_AT_GENERATION,2026-08-25T07:27:04.593531+00:00,CURRENT_FILE_PROVENANCE_VERIFIED,HISTORICAL_LEDGER_ENTRY_NOT_AVAILABLE,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_full51_sha256_ledger.json,e39e22354b11679eb66a43be2c658760ad627ac8b843452565225cecf8007d9e,false
outputs/stage6r_dynamic_full51_semantic_strict_part_09_18/shards/shard_000001/interaction_feat_style_raw.npy,ad0267e168c5cc059fbc76576a7d1574876e0a89ac19087e3cc951a1a6d25cec,stage6r_dynamic_full51_semantic_strict_part_09_18,shard_000001,5014,"[5014,33]",float32,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_dynamic_full51_manifest.json,c67391c26f70734ddecd38b95bcb81b744494383cf62bbfdeb4e024b1fe8305f,tools/build_waymo_dynamic_interaction_dataset_v2.py,1c0f8d77caf0b48a37fe47c673a4f9b293902fcbf1a58ada159f4572c90d1b79,tools/interaction_context_features.py,ccc6c149f9fa4d9ce7ac541c300415c7c4cc0b43dcb0cee827141fc865ef7293,fa37948ce909ef83930fb34ef65342b912af93cb,CURRENT_AND_GIT_TRACEABLE_NOT_ARTIFACT_BOUND_AT_GENERATION,2026-08-25T07:27:04.593531+00:00,CURRENT_FILE_PROVENANCE_VERIFIED,HISTORICAL_LEDGER_ENTRY_NOT_AVAILABLE,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_full51_sha256_ledger.json,e39e22354b11679eb66a43be2c658760ad627ac8b843452565225cecf8007d9e,false
outputs/stage6r_dynamic_full51_semantic_strict_part_09_18/shards/shard_000002/interaction_feat_style_raw.npy,1d4192547b31f79a230d7a6b6e8e27d9f507e5f67ec7dce1886fc02d4469ab66,stage6r_dynamic_full51_semantic_strict_part_09_18,shard_000002,5000,"[5000,33]",float32,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_dynamic_full51_manifest.json,c67391c26f70734ddecd38b95bcb81b744494383cf62bbfdeb4e024b1fe8305f,tools/build_waymo_dynamic_interaction_dataset_v2.py,1c0f8d77caf0b48a37fe47c673a4f9b293902fcbf1a58ada159f4572c90d1b79,tools/interaction_context_features.py,ccc6c149f9fa4d9ce7ac541c300415c7c4cc0b43dcb0cee827141fc865ef7293,fa37948ce909ef83930fb34ef65342b912af93cb,CURRENT_AND_GIT_TRACEABLE_NOT_ARTIFACT_BOUND_AT_GENERATION,2026-08-25T07:27:04.593531+00:00,CURRENT_FILE_PROVENANCE_VERIFIED,HISTORICAL_LEDGER_ENTRY_NOT_AVAILABLE,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_full51_sha256_ledger.json,e39e22354b11679eb66a43be2c658760ad627ac8b843452565225cecf8007d9e,false
